,Title,Price,Rating,Seller,URLs
58,Intel Core i9-11900 - Core i9 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811900,$459.99 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-11900-core-i9-11th-gen/p/N82E16819118236?Item=N82E16819118236
59,Intel Core i9-10900F - Core i9 10th Gen Comet Lake 10-Core 2.8 GHz LGA 1200 65W Desktop Processor - BX8070110900F,$405.99 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-10900f-core-i9-10th-gen/p/N82E16819118130?Item=N82E16819118130
60,Intel Core i9-12900F - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 2.4 GHz LGA 1700 Processor 60W Desktop Processor - BX8071512900F,$488.98 ,,,https://www.newegg.com/intel-core-i9-12900f-core-i9-12th-gen/p/N82E16819118373?Item=N82E16819118373
61,Intel Xeon E-2176G Coffee Lake 3.7 GHz LGA 1151 80W BX80684E2176G Server Processor Intel UHD Graphics P630,$412.99 ,5,Sold & Shipped by Newegg,https://www.newegg.com/intel-xeon-e-2176g-lga-1151/p/N82E16819118004?Item=N82E16819118004
62,Intel Xeon E-2336 Rocket Lake 2.9 GHz LGA 1200 65W BX80708E2336 Server Processor,$337.99 ,,Sold & Shipped by Newegg,https://www.newegg.com/intel-xeon-e-2336-lga-1200/p/N82E16819118410?Item=N82E16819118410
63,Xeon W1250 Processor,$287.99 ,,Sold & Shipped by Newegg,https://www.newegg.com/p/1B4-008A-00PJ0?Item=1B4-008A-00PJ0
64,Xeon W1250P Processor,$365.99 –,,Sold & Shipped by Newegg,https://www.newegg.com/p/1B4-008A-00PJ9?Item=1B4-008A-00PJ9
65,"Intel Xeon Silver 4208 8-Core, 16-Thread, 2.1 GHz (3.2 GHz Turbo) LGA 3647 85W BX806954208 Server Processor",$484.99 ,4.3,,https://www.newegg.com/intel-xeon-silver-4208-lga-3647/p/274-000A-00K47?Item=274-000A-00K47
66,Intel Xeon W-1370P Rocket Lake 3.6 GHz 8 Cores / 16 Threads 16MB LGA 1200 Server Processor BX80708W1370P,$482.99 ,,Sold & Shipped by Newegg,https://www.newegg.com/intel-xeon-w-1370p-lga-1200/p/274-000A-01MX3?Item=274-000A-01MX3
67,Intel Xeon E-2146G Coffee Lake 3.5 GHz LGA 1151 80W BX80684E2146G Server Processor Intel UHD Graphics P630,$373.99 ,4,,https://www.newegg.com/intel-xeon-e-2146g-lga-1151/p/N82E16819118005?Item=N82E16819118005
68,Intel Xeon E-2174G Coffee Lake 3.8 GHz LGA 1151 71W BX80684E2174G Server Processor Intel UHD Graphics P630,$385.99 ,5,Sold & Shipped by Newegg,https://www.newegg.com/intel-xeon-e-2174g-lga-1151/p/N82E16819118006?Item=N82E16819118006
69,Intel Core i7-10700 - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110700,$256.99 ,4.8,,https://www.newegg.com/intel-core-i7-10700-core-i7-10th-gen/p/N82E16819118126?Item=N82E16819118126
